J2000Q0,J2000Q1,J2000Q2,J2000Q3,ET
0.98507824930881,-0.10144294526631,0.13884762585023,-0.0071769345907539,-896556653.92828
0.98614433034798,-0.090386566271811,0.13899469991981,-0.0054865065683321,-896556653.90641
0.98708550991761,-0.079318507976134,0.13912710780924,-0.0037971404714263,-896556653.88453
0.98790167846445,-0.068240154271601,0.13924477202627,-0.0021091456670262,-896556653.86266
0.98859274266482,-0.057152890670277,0.13934761373595,-4.22829246344594e-04,-896556653.84079
0.98915862542531,-0.046058104143935,0.13943555284332,0.0012615041207735,-896556653.81892
0.98959926588105,-0.034957182963464,0.13950850807973,0.0029435523285798,-896556653.79705
0.98991461939133,-0.023851516537719,0.13956639709278,0.0046230159752025,-896556653.77518
0.99010465753277,-0.012742495251803,0.13960913653988,0.0062995984993455,-896556653.75331
0.99016936808998,-0.0016315103048116,0.1396366421851,0.0079730063137638,-896556653.73144
0.99010875504369,0.009480046452984,0.13964882899938,0.0096429489354166,-896556653.70957
0.98992283855649,0.020590782683478,0.13964561126391,0.011309139112117,-896556653.68769
0.98961165495603,0.031699305724625,0.1396269026766,0.012971292945687,-896556653.66582
0.98917525671586,0.042804222754835,0.13959261646146,0.014629130011283,-896556653.64395
0.98861371243381,0.053904140957914,0.13954266548084,0.016282373473037,-896556653.62208
0.98792710680798,0.064997667688496,0.13947696235033,0.017930750195727,-896556653.60021
0.98711554061039,0.07608341063799,0.1393954195562,0.019573990852459,-896556653.57834
0.98617913065823,0.087159978001005,0.13929794957534,0.021211830028212,-896556653.55647
0.9851180097828,0.098225978642265,0.13918446499742,0.022844006319197,-896556653.5346
0.98393232679618,0.109280022264,0.13905487864914,0.024470262427975,-896556653.51273
0.98262224645552,0.12032071957378,0.13890910372066,0.026090345254083,-896556653.49085
0.98118794942513,0.1313466824528,0.13874705389368,0.027704005980333,-896556653.46898
0.97962963223641,0.1423565241246,0.13856864347131,0.029311000154538,-896556653.44711
0.97794750724532,0.15334885932421,0.13837378750953,0.030911087766638,-896556653.42524
0.97614180258797,0.16432230446772,0.13816240194995,0.032504033321202,-896556653.40337
0.97421276213387,0.17527547782213,0.13793440375392,0.034089605905194,-896556653.3815
0.97216064543702,0.18620699967576,0.13768971103757,0.035667579251037,-896556653.35963
0.96998572768498,0.19711549250882,0.137428243208,0.037237731794768,-896556653.33776
0.96768829964584,0.20799958116448,0.13714992109997,0.038799846729439,-896556653.31589
0.96526866761309,0.21885789302014,0.13685466711345,0.040353712053596,-896556653.29402
0.96272715334852,0.22968905815908,0.13654240535141,0.041899120614851,-896556653.27214
0.96006409402308,0.24049170954235,0.13621306175798,0.043435870148509,-896556653.25027
0.95727984215578,0.25126448318092,0.13586656425674,0.04496376331125,-896556653.2284
0.95437476555064,0.26200601830812,0.13550284288894,0.046482607709832,-896556653.20653
0.95134924723178,0.27271495755223,0.13512182995145,0.047992215924806,-896556653.18466
0.94820368537657,0.28338994710931,0.13472346013443,0.049492405529305,-896556653.16279
0.94493849324691,0.29402963691617,0.13430767065843,0.05098299910275,-896556653.14092
0.94155409911877,0.30463268082351,0.1338744014107,0.052463824239692,-896556653.11905
0.93805094620984,0.3151977367692,0.13342359508078,0.053934713553646,-896556653.09718
0.93442949260551,0.32572346695161,0.13295519729493,0.055395504676009,-896556653.0753
0.930690211183,0.33620853800301,0.13246915674944,0.056846040250051,-896556653.05343
0.92683358953393,0.3466516211631,0.13196542534257,0.058286167920034,-896556653.03156
0.92286012988506,0.35705139245245,0.13144395830494,0.059715740315535,-896556653.00969
0.91877036577877,0.36740633617199,0.13090555012774,0.061133755431665,-896556652.98782
0.91456456484709,0.37771528470998,0.13034894286247,0.062545771377041,-896556652.96595
0.91024352651818,0.3879767882572,0.12977539193624,0.063945929136797,-896556652.94408
0.90580779417682,0.39818974075065,0.12918403014018,0.065334957918336,-896556652.92221
0.90125794219645,0.40835284509411,0.12857482993506,0.066712732207086,-896556652.90034
0.89659455908908,0.41846481000465,0.12794776777141,0.068079131324917,-896556652.87846
0.89181824741495,0.42852435018496,0.12730282420665,0.069434039384874,-896556652.85659
0.8869296236908,0.43853018649551,0.12663998401956,0.070777345241486,-896556652.83472
0.88192931829665,0.44848104612642,0.12595923632193,0.07210894243677,-896556652.81285
0.87681797538123,0.45837566276902,0.1252605746675,0.073428729141903,-896556652.79098
0.87159625276601,0.46821277678717,0.12454399715758,0.07473660809482,-896556652.76911
0.86626482184795,0.47799113538813,0.12380950654375,0.076032486533692,-896556652.74724
0.86082436750093,0.48770949279309,0.12305711032712,0.077316276126438,-896556652.72537
0.85527558797585,0.4973666104073,0.1222868208542,0.078587892896378,-896556652.7035
0.84961919479953,0.50696125698964,0.12149865540922,0.079847257144095,-896556652.68162
0.8438559126724,0.51649220882181,0.12069263630278,0.081094293365702,-896556652.65975
0.83798647936497,0.52595824987688,0.11986879095676,0.082328930167481,-896556652.63788
0.83201164561311,0.53535817198734,0.11902715198527,0.083551100177181,-896556652.61601
0.82593217501224,0.54469077501252,0.11816775727164,0.08476073995198,-896556652.59414
0.81974884391037,0.55395486700532,0.11729065004131,0.08595778988329,-896556652.57227
0.81346244130006,0.56314926437832,0.11639587893052,0.087142194098501,-896556652.5504
