J2000Q0,J2000Q1,J2000Q2,J2000Q3,AV1,AV2,AV3,ET
0.5631913942473,-0.11874713318588,0.15297462637514,-0.80331397068102,5.08935442006312e-08,-1.01179049870496e-06,2.46121303628115e-06,-896556653.92828
0.56319137086767,-0.11874712872833,0.1529746298576,-0.80331398706788,5.08935442188367e-08,-1.01179049869577e-06,2.46121303627278e-06,-896556653.9064
0.56319134748803,-0.11874712427079,0.15297463334006,-0.80331400345476,5.08935442370422e-08,-1.01179049868657e-06,2.46121303626441e-06,-896556653.88453
0.56319132410852,-0.11874711981327,0.1529746368225,-0.80331401984153,5.08935442552477e-08,-1.01179049867737e-06,2.46121303625603e-06,-896556653.86266
0.56319130072889,-0.11874711535573,0.15297464030496,-0.8033140362284,5.08935442734533e-08,-1.01179049866817e-06,2.46121303624766e-06,-896556653.84079
0.56319127734926,-0.11874711089819,0.15297464378742,-0.80331405261526,5.08935442916588e-08,-1.01179049865897e-06,2.46121303623928e-06,-896556653.81892
0.56319125396962,-0.11874710644065,0.15297464726988,-0.80331406900213,5.08935443098643e-08,-1.01179049864977e-06,2.46121303623091e-06,-896556653.79705
0.56319123058999,-0.11874710198311,0.15297465075234,-0.80331408538899,5.08935443280698e-08,-1.01179049864057e-06,2.46121303622254e-06,-896556653.77518
0.56319120721036,-0.11874709752557,0.1529746542348,-0.80331410177585,5.08935443462755e-08,-1.01179049863137e-06,2.46121303621416e-06,-896556653.75331
0.56319118383085,-0.11874709306805,0.15297465771724,-0.80331411816262,5.08935443644809e-08,-1.01179049862218e-06,2.46121303620579e-06,-896556653.73144
0.56319116045121,-0.11874708861051,0.15297466119969,-0.80331413454948,5.08935443826866e-08,-1.01179049861298e-06,2.46121303619742e-06,-896556653.70957
0.56319113707156,-0.11874708415296,0.15297466468215,-0.80331415093635,5.08935444008921e-08,-1.01179049860378e-06,2.46121303618904e-06,-896556653.68769
0.56319111369193,-0.11874707969542,0.15297466816461,-0.80331416732321,5.08935444190976e-08,-1.01179049859458e-06,2.46121303618067e-06,-896556653.66582
0.56319109031229,-0.11874707523788,0.15297467164707,-0.80331418371007,5.08935444373031e-08,-1.01179049858538e-06,2.46121303617229e-06,-896556653.64395
0.56319106693265,-0.11874707078034,0.15297467512952,-0.80331420009693,5.08935444555087e-08,-1.01179049857618e-06,2.46121303616392e-06,-896556653.62208
0.56319104355314,-0.11874706632282,0.15297467861196,-0.8033142164837,5.08935444737141e-08,-1.01179049856698e-06,2.46121303615555e-06,-896556653.60021
0.5631910201735,-0.11874706186528,0.15297468209442,-0.80331423287055,5.08935444919197e-08,-1.01179049855778e-06,2.46121303614717e-06,-896556653.57834
0.56319099679387,-0.11874705740773,0.15297468557688,-0.80331424925741,5.08935445101253e-08,-1.01179049854859e-06,2.4612130361388e-06,-896556653.55647
0.56319097341422,-0.11874705295019,0.15297468905934,-0.80331426564427,5.08935445283307e-08,-1.01179049853939e-06,2.46121303613043e-06,-896556653.5346
0.56319095003458,-0.11874704849265,0.15297469254179,-0.80331428203112,5.08935445465364e-08,-1.01179049853019e-06,2.46121303612205e-06,-896556653.51273
0.56319092665494,-0.1187470440351,0.15297469602425,-0.80331429841798,5.08935445647418e-08,-1.01179049852099e-06,2.46121303611368e-06,-896556653.49085
0.56319090327542,-0.11874703957758,0.15297469950669,-0.80331431480474,5.08935445829474e-08,-1.01179049851179e-06,2.4612130361053e-06,-896556653.46898
0.56319087989578,-0.11874703512004,0.15297470298914,-0.8033143311916,5.08935446011527e-08,-1.01179049850259e-06,2.46121303609693e-06,-896556653.44711
0.56319085651614,-0.1187470306625,0.1529747064716,-0.80331434757845,5.08935446193582e-08,-1.01179049849339e-06,2.46121303608856e-06,-896556653.42524
0.5631908331365,-0.11874702620495,0.15297470995406,-0.8033143639653,5.08935446375639e-08,-1.01179049848419e-06,2.46121303608018e-06,-896556653.40337
0.56319080975684,-0.11874702174741,0.15297471343651,-0.80331438035216,5.08935446557694e-08,-1.011790498475e-06,2.46121303607181e-06,-896556653.3815
0.56319078637733,-0.11874701728989,0.15297471691895,-0.80331439673892,5.08935446739748e-08,-1.0117904984658e-06,2.46121303606343e-06,-896556653.35963
0.56319076299768,-0.11874701283234,0.15297472040141,-0.80331441312577,5.08935446921804e-08,-1.0117904984566e-06,2.46121303605506e-06,-896556653.33776
0.56319073961804,-0.1187470083748,0.15297472388386,-0.80331442951262,5.08935447103859e-08,-1.0117904984474e-06,2.46121303604669e-06,-896556653.31589
0.56319071623839,-0.11874700391726,0.15297472736632,-0.80331444589946,5.08935447285913e-08,-1.0117904984382e-06,2.46121303603831e-06,-896556653.29401
0.56319069285875,-0.11874699945971,0.15297473084877,-0.80331446228631,5.08935447467969e-08,-1.011790498429e-06,2.46121303602994e-06,-896556653.27214
0.5631906694791,-0.11874699500217,0.15297473433123,-0.80331447867316,5.08935447650024e-08,-1.0117904984198e-06,2.46121303602157e-06,-896556653.25027
0.56319064609958,-0.11874699054465,0.15297473781366,-0.80331449505991,5.08935447832077e-08,-1.0117904984106e-06,2.46121303601319e-06,-896556653.2284
0.56319062271994,-0.1187469860871,0.15297474129612,-0.80331451144676,5.08935448014133e-08,-1.01179049840141e-06,2.46121303600482e-06,-896556653.20653
0.56319059934028,-0.11874698162956,0.15297474477857,-0.80331452783361,5.08935448196188e-08,-1.01179049839221e-06,2.46121303599644e-06,-896556653.18466
0.56319057596063,-0.11874697717201,0.15297474826103,-0.80331454422045,5.08935448378244e-08,-1.01179049838301e-06,2.46121303598807e-06,-896556653.16279
